MLCC 10V or more,Value,Quantity Per PCB,Package,Specification,Manufacturer,Manufacturer Part Number,Vendor Part Number
"C9, C10",12p,2,C0402,MLCC 10V or more,,,
C12,10n,1,C0402,MLCC 10V or more,,,
"C1, C3, C67, C68",100n,4,C0805,MLCC 10V or more,,,
"C6-C8, C14, C15, C17-C66, C69-C105",100n,92,C0402,MLCC 10V or more,,,
C4 C5,1u,2,C0805,MLCC 10V or more,,,
C11 C16,4.7u,2,C0402,MLCC 10V or more,,,
C13,10u,1,C3216 (CASE A),Tantallum CASEA capacitor rated 10V or more,,,
C2,10u,1,C0805,MLCC 10V or more,,,
"D1, D3-D89",1N4148W,88,SOD-123,Small signal switching diode Small-signal switching diodes,,,
D2,RB060M-60TR,1,SOD-123,Power schottky rectifier,ROHM,RB060M-60TR,LCSC C114257
D90-D176,SK6812MINI-E,87,3228,Reverse-mounted intelligent control surface mount RGB LEDs,Dongguan Opsco Optoelectronics,SK812MINI-E,
F1,mSMD110-16V,1,F1812,"1.1A hold, 2.2A trip PTC resettable fuse",TECHFUSE,mSMD110-16V,LCSC C69691
"FB1, FB2",CBW201209U121T,2,L0805,120R @ 100MHz ferrite bead,Guangdong Fenghua Advanced Tech,CBW201209U121T,LCSC C139186
J1,TYPE-C-31-M12,1,8.94x7.3mm,16-pin USB type C female connector,Korean Hroparts,TYPE-C-31-M-12,LCSC C165948
Q1,DTC123JKAT146,1,SOT-23,Pre-biased NPN transistor,ROHM Semiconductor,DTC123JKAT146,LCSC C111724
R3,100R,1,R0805,,,,
R9 R10,4.7k,2,R0402,,,,
R1 R2,5.1k,2,R0805,,,,
"R14-R63, R65-R101",10k,87,R0402,,,,
"R8, R64",10k,2,R0805,,,,
R6 R7,100k,2,R0805,,,,
R4,330k,1,R0805,,,,
R5,1M,1,R0805,,,,
SW2-SW88,CPG151101S11,87,,"MX-style switch solderless (""hotswap"") socket",Kaihua,CPG151101S11,
SW1,K2-1187SQ-A4SW-06,1,5.0x5.0mm,Surface mount tactile push button,Korean Hroparts,K2-1187SQ-A4SW-06,LCSC C92584
U3,BL24C256A-SFRC,1,TSSOP-8,TSSOP-8 non-volatile 256Kb (32K x 8) I2C EEPROM,Shanghai Belling,BL24C256A-SFRC,LCSC C691875 (https://lcsc.com/product-detail/EEPROM_BL-Shanghai-Belling-BL24C256A-NTRC_C691875.html)
U2,MCP1700T-3302E/TT,1,SOT-23,3.3V fixed linear dropout regulator,Microchip,MCP1700T-3302E/TT,LCSC C39051
U4,STM32F401RCT6,1,"LQFP-64, 10x10mm 0.5mm pitch",32-bit flash ARM Cortex-M4 84MHz LQFP-64_10x10x05P STMicroelectronics,STMicroelectronics,STM32F401RBT6,LCSC C75278
U5,TXS0101DBVR,1,SOT-23-6,1-bit bidirectional logic voltage level translator,Texas Instruments,TXS0101DBVR,LCSC C132604
U1,USBLC6-2SC6,1,SOT-23-6,Unidirectional ESD TVS diode,STMicroelectronics,USBLC6-2SC6,LCSC C7519
Y1,TAXM8M4RFDCET2T,1,Y3225,8MHz 3225 SMD GND24 crystal resonator,TAE,TAXM8M4RFDCET2T,LCSC C403948
